csafp1,geoid1,csa_name.x,csa_pop.x,city_pop1,state,city1,lat1,long1,geoid2,csafp2,csa_name.y,csa_pop.y,city_pop2,city,lat2,long2,distance,est_ridership
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,5367000,518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",785302,229451,"Spokane, Washington",47.6571934,-117.42351,368.0721193189011,0.08768054026554525
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,5335275,314,"Kennewick-Richland-Walla Walla, WA",375821,85155,"Kennewick, Washington",46.2087066,-119.119919,289.3141752974706,0.07870188006671083
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,4159000,440,"Portland-Vancouver-Salem, OR-WA",3286669,630395,"Portland, Oregon",45.5202471,-122.674194,233.43370543724592,0.6851999853015781
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,2360545,438,"Portland-Lewiston-South Portland, ME",680094,69104,"Portland, Maine",43.6573605,-70.2586618,4000.457998299967,6.615694203247885e-4
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,2717000,228,"Duluth-Grand Rapids, MN-WI",326968,87693,"Duluth, Minnesota",46.7729322,-92.1251218,2272.4490496421863,0.0011411837771025863
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,3825700,244,"Fargo-Wahpeton, ND-MN",285484,132400,"Fargo, North Dakota",46.877229,-96.789821,1923.2222686655266,0.0014293749229671476
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,2507000,148,"Boston-Worcester-Providence, MA-RI-NH",8345067,652442,"Boston, Massachusetts",42.3554334,-71.060511,4004.5622778699167,0.004906518673931053
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,3601000,104,"Albany-Schenectady, NY",1192181,101220,"Albany, New York",42.6511674,-73.754968,3791.332568332796,0.0011540634630232442
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,3673000,532,"Syracuse-Auburn, NY",727441,145573,"Syracuse, New York",43.0481221,-76.1474244,3595.6687171696344,8.642085818890175e-4
500,5363000,"Seattle-Tacoma, WA",4993725,755081,Washington,Seattle,47.6038321,-122.330062,2567000,521,"Springfield-Amherst Town-Northampton, MA",693629,153672,"Springfield, Massachusetts",42.1018764,-72.5886727,3904.3300730269198,7.055835384841544e-4
